state;2009;2010;2011;2012;2013;2014;2015;2016
Alabama;883;1,024;545;538;554;481;398;348
Alaska;1,626;1,598;1,679;1,733;27;595;593;551
Arizona;8,971;5,356;6,457;6,435;6,405;6,955;6,471;8,285
Arkansas;0;0;0;0;0;0;0;0
California;2,316;2,170;697;608;2,026;2,376;2,195;7,005
Colorado;4,957;4,498;4,303;3,939;3,898;3,782;3,987;3,564
Connecticut;885;883;855;817;725;647;524;508
Delaware;0;0;0;0;0;0;0;0
Florida;9,812;11,796;11,827;11,701;11,801;12,395;12,487;12,176
Georgia;5,129;5,233;5,615;7,900;7,900;7,901;7,953;7,973
Hawaii;1,648;1,931;1,767;1,636;1,421;1,425;1,340;1,405
Idaho;2,066;2,236;2,332;2,725;2,745;639;545;420
Illinois;0;0;0;/;0;0;0;0
Indiana;2,479;2,817;2,952;4,251;4,438;4,420;4,204;3,927
Iowa;0;0;0;0;0;0;0;0
Kansas;0;0;74;83;95;0;0;0
Kentucky;2,491;2,127;2,050;812;0;0;0;0
Louisiana;2,922;2,921;2,951;2,956;3,158;3,142;3,152;0
Maine;0;0;0;0;0;0;0;0
Maryland;104;70;78;27;29;30;30;25
Massachusetts;0;0;0;0;0;0;0;0
Michigan;0;0;0;0;0;0;0;0
Minnesota;191;0;0;0;0;0;0;0
Mississippi;5,286;5,241;4,669;4,334;4,394;4,114;3,946;3,078
Missouri;0;0;0;0;0;0;0;0
Montana;1,434;1,502;1,418;1,418;1,459;1,432;1,490;1,481
Nebraska;0;0;0;0;0;0;0;0
Nevada;0;0;0;/;/;/;0;0
New Hampshire;0;0;0;0;0;0;0;0
New Jersey;2,950;2,841;2,887;2,717;2,735;2,761;2,863;2,720
New Mexico;2,822;2,905;2,853;2,999;2,984;3,072;3,026;3,040
New York;0;0;0;0;0;0;0;0
North Carolina;217;208;30;30;30;30;29;30
North Dakota;0;0;0;0;0;371;427;/
Ohio;2,195;3,038;3,004;5,343;5,487;5,370;6,050;6,259
Oklahoma;5,989;6,019;6,026;6,423;7,051;7,367;7,446;7,149
Oregon;0;0;0;0;0;/;/;0
Pennsylvania;920;1,015;1,195;1,219;546;636;605;680
Rhode Island;0;0;0;0;0;0;0;0
South Carolina;14;17;20;16;15;15;14;12
South Dakota;13;5;11;15;16;10;22;34
Tennessee;5,108;5,120;5,147;5,165;5,103;5,116;5,172;7,433
Texas;19,207;19,155;18,603;18,617;14,538;14,368;14,293;13,692
Utah;0;0;0;0;0;0;0;0
Vermont;668;562;522;504;499;/;241;264
Virginia;1,575;1,560;1,569;1,559;1,554;1,570;1,568;1,576
Washington;124;0;0;0;0;0;0;0
West Virginia;0;0;0;0;0;0;0;0
Wisconsin;17;50;14;18;0;0;0;0
Wyoming;227;217;245;236;252;255;267;269
